  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
900000.E+01  7393.14E-05  6014.09E-09
180000.E+02  7455.03E-05  1105.32E-08
270000.E+02  7471.10E-05  7350.45E-09
360000.E+02  7495.15E-05  1179.07E-08
450000.E+02  7531.97E-05  1252.15E-08
540000.E+02  7593.07E-05  4522.48E-09
630000.E+02  7646.28E-05  1881.39E-08
720000.E+02  7678.40E-05  5308.14E-09
810000.E+02  7688.01E-05  4943.65E-09
900000.E+02  7756.54E-05  1638.68E-08
990000.E+02  7801.37E-05  5280.51E-09
108000.E+03  7848.38E-05  9230.74E-09
117000.E+03  7881.23E-05  1226.51E-08
126000.E+03  7919.24E-05  5313.17E-09
135000.E+03  7962.26E-05  7414.85E-09
144000.E+03  8028.18E-05  5461.01E-09
153000.E+03  8067.07E-05  4236.70E-09
162000.E+03  8144.74E-05  8838.57E-09
171000.E+03  8180.26E-05  7878.63E-09
180000.E+03  8263.54E-05  4440.40E-08
189000.E+03  8276.31E-05  6179.44E-09
198000.E+03  8325.03E-05  8102.78E-09
207000.E+03  8409.99E-05  2090.93E-08
216000.E+03  8492.44E-05  6651.11E-09
225000.E+03  8521.71E-05  6199.99E-09
234000.E+03  8556.94E-05  5363.96E-09
243000.E+03  8649.78E-05  5532.13E-09
252000.E+03  8721.77E-05  1217.68E-08
261000.E+03  8762.12E-05  8663.05E-09
270000.E+03  8844.08E-05  5917.50E-09
279000.E+03  8916.69E-05  6797.36E-09
288000.E+03  8981.29E-05  8445.63E-09
297000.E+03  9054.58E-05  5783.11E-09
306000.E+03  9144.85E-05  2344.43E-08
315000.E+03  9214.36E-05  1021.00E-08
324000.E+03  9297.26E-05  1014.21E-08
333000.E+03  9371.82E-05  8755.81E-09
342000.E+03  9472.72E-05  1579.10E-08
351000.E+03  9539.82E-05  1082.14E-08
360000.E+03  9640.25E-05  8744.14E-09
369000.E+03  9737.78E-05  8817.30E-09
378000.E+03  9846.05E-05  2063.28E-08
387000.E+03  9933.84E-05  5705.03E-08
396000.E+03  1001.09E-04  2787.34E-08
405000.E+03  1013.46E-04  7632.07E-08
414000.E+03  1025.84E-04  1548.24E-08
423000.E+03  1038.50E-04  1768.60E-08
432000.E+03  1045.95E-04  8339.52E-09
441000.E+03  1061.31E-04  7803.30E-09
450000.E+03  1077.13E-04  2782.10E-08
459000.E+03  1086.46E-04  1300.14E-08
468000.E+03  1102.78E-04  8991.17E-09
477000.E+03  1114.60E-04  3900.80E-08
486000.E+03  1134.01E-04  8473.20E-09
495000.E+03  1148.30E-04  8794.44E-09
504000.E+03  1167.31E-04  6240.25E-08
513000.E+03  1183.35E-04  1629.01E-08
522000.E+03  1202.61E-04  1084.74E-08
531000.E+03  1225.88E-04  7428.00E-09
540000.E+03  1248.51E-04  1245.80E-08
549000.E+03  1267.97E-04  9224.06E-09
558000.E+03  1293.18E-04  1641.87E-08
567000.E+03  1315.03E-04  7887.65E-09
576000.E+03  1346.02E-04  1402.00E-08
585000.E+03  1371.61E-04  2460.28E-08
594000.E+03  1407.44E-04  1666.34E-08
603000.E+03  1440.52E-04  9892.01E-09
612000.E+03  1480.95E-04  1632.51E-08
621000.E+03  1519.05E-04  7786.89E-08
630000.E+03  1564.83E-04  1309.87E-08
639000.E+03  1610.94E-04  1747.73E-08
648000.E+03  1662.29E-04  2758.69E-08
657000.E+03  1728.63E-04  2680.92E-08
666000.E+03  1800.06E-04  4962.57E-08
675000.E+03  1875.21E-04  3390.47E-08
684000.E+03  1965.51E-04  3143.99E-08
693000.E+03  2073.09E-04  2661.85E-08
702000.E+03  2202.99E-04  8380.53E-08
711000.E+03  2370.87E-04  2720.03E-08
720000.E+03  2579.39E-04  5214.44E-08
729000.E+03  2879.58E-04  9787.38E-08
738000.E+03  3357.76E-04  6007.11E-08
747000.E+03  4160.49E-04  1293.90E-07
756000.E+03  4784.86E-04  1307.32E-07
765000.E+03  4117.34E-04  1091.20E-07
774000.E+03  2047.03E-04  5321.20E-08
783000.E+03  5460.18E-05  1548.75E-08
792000.E+03  7193.23E-06  1125.66E-09
801000.E+03  2407.86E-07  2335.90E-11
810000.E+03  0000.00E+00  0000.00E+00
819000.E+03  0000.00E+00  0000.00E+00
828000.E+03  0000.00E+00  0000.00E+00
837000.E+03  0000.00E+00  0000.00E+00
846000.E+03  0000.00E+00  0000.00E+00
855000.E+03  0000.00E+00  0000.00E+00
864000.E+03  0000.00E+00  0000.00E+00
873000.E+03  0000.00E+00  0000.00E+00
882000.E+03  0000.00E+00  0000.00E+00
891000.E+03  0000.00E+00  0000.00E+00
900000.E+03  0000.00E+00  0000.00E+00
