====== H (10) into Layer 1                      =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 10000 keV
============= TARGET MATERIAL ======================================
Layer 1 : Water_Liquid (ICRU-276)
Layer Width = 13000.E+03 A ;
  Layer # 1- Density = 10.02E22 atoms/cm3 = 1 g/cm3
  Layer # 1-  H = 66.6 Atomic Percent = 11.1 Mass Percent
  Layer # 1-  O = 33.3 Atomic Percent = 88.8 Mass Percent
====================================================================
 Total Ions calculated =027302.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
130000.E+00  4665.07E-04  4007.40E-08
260000.E+00  4677.98E-04  5862.67E-08
390000.E+00  4706.59E-04  8088.04E-08
520000.E+00  4729.75E-04  8017.29E-08
650000.E+00  4760.66E-04  1396.76E-07
780000.E+00  4772.92E-04  5783.89E-08
910000.E+00  4808.87E-04  6339.00E-08
104000.E+01  4829.89E-04  5685.38E-07
117000.E+01  4849.75E-04  6524.83E-08
130000.E+01  4881.00E-04  4372.99E-08
143000.E+01  4910.75E-04  5498.12E-08
156000.E+01  4942.26E-04  3594.55E-08
169000.E+01  4961.77E-04  9498.42E-08
182000.E+01  5000.17E-04  4948.22E-07
195000.E+01  5022.69E-04  5608.50E-08
208000.E+01  5053.16E-04  3482.09E-07
221000.E+01  5095.05E-04  2909.25E-07
234000.E+01  5112.80E-04  1313.82E-07
247000.E+01  5143.89E-04  5819.33E-08
260000.E+01  5172.50E-04  5466.75E-08
273000.E+01  5200.92E-04  6852.35E-08
286000.E+01  5238.70E-04  2764.06E-07
299000.E+01  5269.68E-04  4633.18E-08
312000.E+01  5300.42E-04  6525.53E-08
325000.E+01  5337.42E-04  1032.31E-07
338000.E+01  5381.15E-04  9563.77E-08
351000.E+01  5417.41E-04  9308.76E-08
364000.E+01  5454.19E-04  3961.84E-08
377000.E+01  5487.98E-04  7409.78E-08
390000.E+01  5534.31E-04  7318.94E-08
403000.E+01  5573.96E-04  6382.68E-08
416000.E+01  5613.21E-04  8122.98E-08
429000.E+01  5650.18E-04  7452.54E-08
442000.E+01  5702.43E-04  1173.03E-07
455000.E+01  5740.07E-04  7944.19E-08
468000.E+01  5782.45E-04  1220.15E-07
481000.E+01  5827.90E-04  7644.79E-08
494000.E+01  5876.10E-04  5340.56E-08
507000.E+01  5923.34E-04  1018.27E-07
520000.E+01  5982.06E-04  5393.27E-07
533000.E+01  6045.40E-04  3877.54E-07
546000.E+01  6087.88E-04  7338.92E-08
559000.E+01  6138.95E-04  4899.49E-08
572000.E+01  6187.03E-04  4588.47E-08
585000.E+01  6252.08E-04  7147.79E-07
598000.E+01  6319.43E-04  7265.89E-08
611000.E+01  6377.62E-04  4637.62E-08
624000.E+01  6434.06E-04  1025.82E-07
637000.E+01  6502.77E-04  2172.33E-07
650000.E+01  6579.64E-04  1279.23E-07
663000.E+01  6651.10E-04  1017.92E-07
676000.E+01  6714.43E-04  7269.09E-08
689000.E+01  6785.44E-04  6756.77E-08
702000.E+01  6866.40E-04  1059.56E-07
715000.E+01  6949.92E-04  2587.66E-07
728000.E+01  7035.73E-04  2694.98E-07
741000.E+01  7123.91E-04  7681.23E-08
754000.E+01  7216.45E-04  1087.55E-07
767000.E+01  7313.92E-04  1006.35E-07
780000.E+01  7415.95E-04  2474.12E-07
793000.E+01  7516.16E-04  1613.01E-07
806000.E+01  7630.11E-04  4356.65E-07
819000.E+01  7737.26E-04  1285.13E-07
832000.E+01  7848.25E-04  7308.91E-08
845000.E+01  7972.66E-04  3990.90E-07
858000.E+01  8111.59E-04  1123.96E-07
871000.E+01  8244.26E-04  1790.88E-07
884000.E+01  8402.44E-04  1197.62E-07
897000.E+01  8551.54E-04  6811.72E-08
910000.E+01  8714.33E-04  1769.80E-07
923000.E+01  8893.04E-04  1230.56E-07
936000.E+01  9088.61E-04  2515.87E-07
949000.E+01  9284.41E-04  1218.81E-07
962000.E+01  9503.18E-04  8716.98E-08
975000.E+01  9748.34E-04  2492.65E-07
988000.E+01  1000.72E-03  1380.63E-07
100100.E+02  1027.26E-03  3179.03E-07
101400.E+02  1058.52E-03  4808.43E-07
102700.E+02  1092.61E-03  1492.73E-07
104000.E+02  1130.58E-03  1726.51E-07
105300.E+02  1172.48E-03  2283.16E-07
106600.E+02  1219.62E-03  3318.52E-07
107900.E+02  1275.24E-03  2586.62E-07
109200.E+02  1338.27E-03  2404.63E-07
110500.E+02  1412.62E-03  2070.06E-07
111800.E+02  1504.86E-03  3299.32E-07
113100.E+02  1618.15E-03  3856.34E-07
114400.E+02  1764.12E-03  6589.97E-07
115700.E+02  1957.84E-03  5300.15E-07
117000.E+02  2224.82E-03  4348.79E-07
118300.E+02  2530.83E-03  6758.47E-07
119600.E+02  2605.96E-03  1012.31E-06
120900.E+02  2119.58E-03  1152.37E-06
122200.E+02  1229.38E-03  7097.06E-07
123500.E+02  4811.71E-04  3730.99E-07
124800.E+02  1238.30E-04  9142.65E-08
126100.E+02  1985.56E-05  2737.54E-08
127400.E+02  2552.87E-06  1946.77E-09
128700.E+02  2072.18E-07  1480.01E-10
130000.E+02  0000.00E+00  0000.00E+00
