  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
300000.E+00  3356.82E-04  2236.34E-08
600000.E+00  3380.11E-04  2986.61E-08
900000.E+00  3387.94E-04  2669.92E-08
120000.E+01  3409.19E-04  3199.95E-08
150000.E+01  3434.15E-04  5360.43E-08
180000.E+01  3447.30E-04  2360.34E-08
210000.E+01  3476.69E-04  6474.31E-08
240000.E+01  3488.17E-04  4686.43E-08
270000.E+01  3518.42E-04  2178.58E-08
300000.E+01  3532.05E-04  1960.25E-08
330000.E+01  3550.81E-04  8000.05E-08
360000.E+01  3583.70E-04  2904.07E-08
390000.E+01  3604.48E-04  7624.48E-08
420000.E+01  3625.85E-04  5634.05E-08
450000.E+01  3644.25E-04  4697.48E-08
480000.E+01  3672.62E-04  4108.48E-08
510000.E+01  3700.53E-04  5789.67E-08
540000.E+01  3718.29E-04  2504.24E-08
570000.E+01  3754.10E-04  3703.14E-08
600000.E+01  3764.62E-04  5388.63E-08
630000.E+01  3793.71E-04  2953.49E-08
660000.E+01  3830.37E-04  5262.53E-08
690000.E+01  3862.20E-04  2441.83E-08
720000.E+01  3888.62E-04  5489.94E-08
750000.E+01  3918.37E-04  4040.74E-07
780000.E+01  3951.90E-04  5487.13E-08
810000.E+01  3978.94E-04  7085.01E-08
840000.E+01  4011.53E-04  6737.01E-08
870000.E+01  4051.71E-04  2489.62E-08
900000.E+01  4080.33E-04  1072.75E-07
930000.E+01  4119.44E-04  5174.96E-08
960000.E+01  4161.81E-04  5487.70E-08
990000.E+01  4195.07E-04  4973.94E-08
102000.E+02  4258.84E-04  5085.60E-07
105000.E+02  4272.89E-04  3149.26E-08
108000.E+02  4310.21E-04  7505.88E-08
111000.E+02  4352.33E-04  3790.75E-07
114000.E+02  4389.69E-04  7667.73E-08
117000.E+02  4476.93E-04  4908.42E-07
120000.E+02  4482.06E-04  9059.20E-08
123000.E+02  4538.82E-04  3950.08E-08
126000.E+02  4582.69E-04  4501.30E-08
129000.E+02  4635.60E-04  1154.81E-07
132000.E+02  4691.55E-04  3930.77E-08
135000.E+02  4744.43E-04  2908.79E-08
138000.E+02  4790.31E-04  1866.03E-07
141000.E+02  4855.12E-04  3620.31E-08
144000.E+02  4914.96E-04  7820.70E-08
147000.E+02  4989.76E-04  5388.12E-08
150000.E+02  5045.45E-04  4940.91E-08
153000.E+02  5123.52E-04  4302.96E-08
156000.E+02  5182.55E-04  1414.70E-07
159000.E+02  5267.37E-04  3388.66E-08
162000.E+02  5351.90E-04  7996.52E-08
165000.E+02  5429.35E-04  1261.98E-07
168000.E+02  5503.79E-04  6200.00E-08
171000.E+02  5603.83E-04  8942.75E-08
174000.E+02  5714.64E-04  9563.24E-08
177000.E+02  5818.10E-04  8645.92E-08
180000.E+02  5923.41E-04  1538.97E-07
183000.E+02  6047.61E-04  1957.03E-07
186000.E+02  6166.56E-04  1578.33E-07
189000.E+02  6315.00E-04  8857.41E-08
192000.E+02  6457.60E-04  8779.94E-08
195000.E+02  6608.88E-04  1770.43E-07
198000.E+02  6778.49E-04  9876.63E-08
201000.E+02  6951.57E-04  6197.17E-08
204000.E+02  7170.59E-04  1837.29E-07
207000.E+02  7394.98E-04  9329.93E-08
210000.E+02  7640.75E-04  2068.37E-07
213000.E+02  7922.58E-04  5868.48E-07
216000.E+02  8210.25E-04  1920.00E-07
219000.E+02  8573.62E-04  7268.68E-08
222000.E+02  8972.96E-04  1068.32E-07
225000.E+02  9447.06E-04  6769.53E-07
228000.E+02  1001.71E-03  2807.13E-07
231000.E+02  1073.12E-03  4365.63E-07
234000.E+02  1163.21E-03  2080.29E-07
237000.E+02  1286.16E-03  1840.70E-07
240000.E+02  1464.44E-03  3708.77E-07
243000.E+02  1733.97E-03  5045.46E-07
246000.E+02  1997.07E-03  7318.86E-07
249000.E+02  1867.51E-03  8007.10E-07
252000.E+02  1159.36E-03  4541.45E-07
255000.E+02  4361.33E-04  2743.99E-07
258000.E+02  9369.54E-05  4559.81E-08
261000.E+02  1557.16E-05  9996.82E-09
264000.E+02  6308.86E-07  4113.74E-10
267000.E+02  3279.93E-07  5073.53E-12
270000.E+02  1004.98E-07  8181.94E-11
273000.E+02  0000.00E+00  0000.00E+00
276000.E+02  0000.00E+00  0000.00E+00
279000.E+02  0000.00E+00  0000.00E+00
282000.E+02  0000.00E+00  0000.00E+00
285000.E+02  0000.00E+00  0000.00E+00
288000.E+02  0000.00E+00  0000.00E+00
291000.E+02  0000.00E+00  0000.00E+00
294000.E+02  0000.00E+00  0000.00E+00
297000.E+02  0000.00E+00  0000.00E+00
300000.E+02  0000.00E+00  0000.00E+00
